,Nom du candidat,URL,Titre du programme,Description
0,Gilles Lazza,https://pcinq.org/issues/sante/,,
1,Gilles Lazza,https://pcinq.org/issues/education/,,
2,Gilles Lazza,https://pcinq.org/issues/transports/,,
3,Gilles Lazza,https://pcinq.org/issues/energie/,,
4,Gilles Lazza,https://pcinq.org/issues/famille/,,
5,Gilles Lazza,https://pcinq.org/issues/logement/,,
6,Gilles Lazza,https://pcinq.org/issues/sport/,,
7,Gilles Lazza,https://pcinq.org/issues/culture/,,
8,Gilles Lazza,https://pcinq.org/issues/introduction/,Notre programme,Les grandes lignes du programme
9,Gilles Lazza,https://pcinq.org/issues/made-in-france/,1. La France autonome,Construire une France autonome
10,Gilles Lazza,https://pcinq.org/issues/ecologie/,2. L’écologie,Mettre l’écologie au sommet
11,Gilles Lazza,https://pcinq.org/issues/pouvoir-achat/,3. Le pouvoir d’achat,Retrouver un vrai pouvoir d’achat
12,Gilles Lazza,https://pcinq.org/issues/teletravail/,,
13,Gilles Lazza,https://pcinq.org/issues/les-animaux/,,
14,Gilles Lazza,https://pcinq.org/issues/comites-citoyens/,,
15,Gilles Lazza,https://pcinq.org/issues/villages/,,
16,Gilles Lazza,https://pcinq.org/issues/sante/,,
17,Gilles Lazza,https://pcinq.org/issues/education/,,
18,Gilles Lazza,https://pcinq.org/issues/transports/,,
19,Gilles Lazza,https://pcinq.org/issues/energie/,,
20,Gilles Lazza,https://pcinq.org/issues/famille/,,
21,Gilles Lazza,https://pcinq.org/issues/logement/,,
22,Gilles Lazza,https://pcinq.org/issues/sport/,,
23,Gilles Lazza,https://pcinq.org/issues/culture/,,
24,Gilles Lazza,https://pcinq.org/issues/introduction/,,
25,Gilles Lazza,https://pcinq.org/issues/made-in-france/,,
26,Gilles Lazza,https://pcinq.org/issues/ecologie/,,
27,Gilles Lazza,https://pcinq.org/issues/pouvoir-achat/,,
28,Gilles Lazza,https://pcinq.org/issues/teletravail/,,
29,Gilles Lazza,https://pcinq.org/issues/les-animaux/,,
30,Gilles Lazza,https://pcinq.org/issues/comites-citoyens/,,
31,Gilles Lazza,https://pcinq.org/issues/villages/,,
